txn_id,value_date,amount,direction,narration,utr,balance_after
BNK-000513,2026-05-01,29861.39,CREDIT,REV-882250194055-FAILED TXN,882250194055,279861.39
BNK-000206,2026-05-02,9584.83,CREDIT,INB/813145791838/PAYMENT,813145791838,289446.22
BNK-000168,2026-05-03,76152.48,CREDIT,NEFT-BSTX,202555116096,365598.70
BNK-000157,2026-05-05,40405.76,CREDIT,BY TRANSFER-382077006579-,382077006579,406004.46
BNK-000465,2026-05-05,10463.37,CREDIT,INB/362050526279/PAYMENT,362050526279,416467.83
BNK-000517,2026-05-05,82848.97,CREDIT,IMPS-143267911379-UNKNOWN REMITTER,143267911379,499316.80
BNK-000519,2026-05-05,9356.12,CREDIT,IMPS-103388046419-UNKNOWN REMITTER,103388046419,508672.92
BNK-000333,2026-05-09,42531.16,CREDIT,UPI/957937245060/agrwlg@oksbinbank,957937245060,551204.08
BNK-000356,2026-05-09,18272.04,CREDIT,IMPS-790113205445-ChhCh,790113205445,569476.12
BNK-000455,2026-05-09,13691.01,CREDIT,BY TRANSFER-270285567444-,270285567444,583167.13
BNK-000456,2026-05-09,13691.01,CREDIT,UPI/337220318532/bhatttra@okyesbbank,337220318532,596858.14
BNK-000064,2026-05-11,17485.79,CREDIT,BY TRANSFER-876402616138-,876402616138,614343.93
BNK-000060,2026-05-12,16785.58,CREDIT,NEFT-VNKTX,974893236899,631129.51
BNK-000090,2026-05-12,44805.36,CREDIT,IMPS-892788732370-ChattInf,892788732370,675934.87
BNK-000091,2026-05-12,44805.36,CREDIT,IMPS-585338748766-Chttnf,585338748766,720740.23
BNK-000144,2026-05-12,41600.15,CREDIT,RTGS PUNB463657735171 BSSL,463657735171,762340.38
BNK-000327,2026-05-12,114369.80,CREDIT,CMS/INV-1315/AGRWLG,298001832957,876710.18
BNK-000120,2026-05-13,262326.47,CREDIT,IMPS-617976206713-BhattTra,617976206713,1139036.65
BNK-000187,2026-05-13,40403.71,CREDIT,NEFT-NairLog,206948205420,1179440.36
BNK-000253,2026-05-13,50846.36,CREDIT,CMS/1231/PATELCHE,241092319053,1230286.72
