invoice_id,counterparty,counterparty_id,gross_amount,tds_applicable,tds_rate,issue_date,due_date,status
INV-1000,Venkat Polymers Pvt Ltd,CP-005,33725.57,False,0,2026-07-21,2026-08-05,OPEN
INV-1001,Bhatt Traders Ltd,CP-000,23463.84,False,0,2026-06-13,2026-06-28,OPEN
INV-1002,Bhatt Traders Ltd,CP-000,32335.03,False,0,2026-05-27,2026-06-11,OPEN
INV-1003,Bose Solutions Pvt Ltd,CP-016,38364.45,False,0,2026-07-02,2026-08-01,OPEN
INV-1004,Iyer Industries,CP-008,28583.64,False,0,2026-06-13,2026-07-13,OPEN
INV-1005,Deshmukh Logistics Pvt Ltd,CP-034,175613.16,False,0,2026-05-19,2026-06-03,OPEN
INV-1006,Deshmukh Enterprises,CP-026,16763.66,False,0,2026-05-12,2026-06-11,OPEN
INV-1007,Malhotra Textiles LLP,CP-010,106758.95,False,0,2026-05-29,2026-07-13,OPEN
INV-1008,Agarwal Distributors,CP-003,4151.98,False,0,2026-05-25,2026-06-24,OPEN
INV-1009,Sinha Agro & Co,CP-025,16736.20,False,0,2026-06-15,2026-06-30,OPEN
INV-1010,Venkat Textiles Pvt Ltd,CP-030,38057.23,False,0,2026-07-17,2026-08-16,OPEN
INV-1011,Bhatt Chemicals & Co,CP-032,68160.11,True,0.02,2026-06-16,2026-07-01,OPEN
INV-1012,Iyer Industries,CP-008,24729.25,False,0,2026-07-18,2026-08-17,OPEN
INV-1013,Reddy Traders Ltd,CP-045,20436.96,True,0.1,2026-07-24,2026-09-07,OPEN
INV-1014,Sinha Agro & Co,CP-025,38511.51,True,0.1,2026-07-21,2026-08-20,OPEN
INV-1015,Venkat Polymers Pvt Ltd,CP-005,22389.51,False,0,2026-05-20,2026-06-19,OPEN
INV-1016,Trivedi Packaging & Co,CP-031,24058.98,True,0.02,2026-05-17,2026-07-01,OPEN
INV-1017,Sinha Agro & Co,CP-025,40440.67,True,0.1,2026-06-11,2026-06-26,OPEN
INV-1018,Bhatt Traders Ltd,CP-000,155800.09,False,0,2026-07-06,2026-08-20,OPEN
INV-1019,Bhatt Traders Ltd,CP-000,13382.74,False,0,2026-06-26,2026-08-10,OPEN
INV-1020,Bhatt Traders Ltd,CP-000,70129.45,False,0,2026-06-30,2026-07-15,OPEN
INV-1021,Chauhan Polymers LLP,CP-012,22975.20,False,0,2026-07-11,2026-07-26,OPEN
INV-1022,Iyer Agro Pvt Ltd,CP-041,37199.26,False,0,2026-05-09,2026-06-23,OPEN
INV-1023,Venkat Steels & Co,CP-055,49251.23,False,0,2026-06-05,2026-07-20,OPEN
INV-1024,Trivedi Packaging & Co,CP-031,40778.43,False,0,2026-07-06,2026-08-05,OPEN
INV-1025,Patel Exports Ltd,CP-047,85859.32,True,0.02,2026-06-27,2026-07-27,OPEN
INV-1026,Venkat Textiles,CP-007,16829.31,True,0.1,2026-05-10,2026-05-25,OPEN
INV-1027,Patel Chemicals LLP,CP-043,6127.82,False,0,2026-07-24,2026-08-23,OPEN
INV-1028,Iyer Agro Pvt Ltd,CP-041,128162.21,True,0.02,2026-07-02,2026-07-17,OPEN
INV-1029,Rastogi Enterprises LLP,CP-022,144280.89,True,0.1,2026-06-23,2026-07-08,OPEN
INV-1030,Mehta Chemicals LLP,CP-023,36547.79,False,0,2026-06-12,2026-07-12,OPEN
INV-1031,Agarwal Packaging,CP-009,17485.79,False,0,2026-05-06,2026-05-21,OPEN
INV-1032,Iyer Solutions,CP-002,14913.46,False,0,2026-07-26,2026-08-25,OPEN
INV-1033,Venkat Polymers Pvt Ltd,CP-005,45091.93,False,0,2026-07-03,2026-07-18,OPEN
INV-1034,Iyer Solutions,CP-002,70714.23,True,0.02,2026-05-10,2026-06-24,OPEN
INV-1035,Bhatt Traders Ltd,CP-000,15622.32,True,0.02,2026-05-29,2026-06-28,OPEN
INV-1036,Bhatt Traders Ltd,CP-000,148864.75,False,0,2026-06-04,2026-06-19,OPEN
INV-1037,Malhotra Textiles LLP,CP-010,25502.14,True,0.02,2026-05-21,2026-06-05,OPEN
INV-1038,Trivedi Enterprises Ltd,CP-048,61308.28,True,0.02,2026-05-27,2026-06-26,OPEN
INV-1039,Bose Textiles Pvt Ltd,CP-004,44233.67,True,0.1,2026-06-30,2026-07-15,OPEN
INV-1040,Pillai Textiles,CP-018,78804.06,False,0,2026-07-09,2026-08-08,OPEN
INV-1041,Chauhan Textiles LLP,CP-054,27497.53,True,0.02,2026-05-30,2026-06-29,OPEN
INV-1042,Chatterjee Infotech Pvt Ltd,CP-058,112449.64,True,0.1,2026-05-08,2026-06-22,OPEN
INV-1043,Bose Agro,CP-019,25737.23,True,0.02,2026-06-07,2026-06-22,OPEN
INV-1044,Iyer Solutions,CP-002,12024.60,False,0,2026-06-12,2026-07-27,OPEN
INV-1045,Agarwal Distributors,CP-003,23549.21,False,0,2026-06-12,2026-07-12,OPEN
INV-1046,Iyer Solutions,CP-002,55293.23,True,0.02,2026-05-01,2026-05-16,OPEN
INV-1047,Venkat Polymers Pvt Ltd,CP-005,27066.20,False,0,2026-07-14,2026-07-29,OPEN
INV-1048,Pillai Textiles,CP-018,31158.98,True,0.02,2026-07-03,2026-07-18,OPEN
INV-1049,Chatterjee Agro,CP-033,79351.31,False,0,2026-06-24,2026-08-08,OPEN
INV-1050,Bhatt Traders Ltd,CP-000,43217.82,False,0,2026-05-03,2026-06-17,OPEN
INV-1051,Venkat Textiles Pvt Ltd,CP-030,51079.42,True,0.1,2026-05-06,2026-05-21,OPEN
INV-1052,Venkat Polymers Pvt Ltd,CP-005,37083.45,False,0,2026-05-03,2026-06-17,OPEN
INV-1053,Iyer Solutions,CP-002,20505.09,False,0,2026-05-09,2026-06-23,OPEN
INV-1054,Patel Chemicals LLP,CP-043,10623.75,True,0.02,2026-06-30,2026-07-30,OPEN
INV-1055,Iyer Solutions,CP-002,67150.97,False,0,2026-07-23,2026-08-22,OPEN
INV-1056,Agarwal Chemicals & Co,CP-036,28439.17,False,0,2026-07-20,2026-08-04,OPEN
INV-1057,Chauhan Steels LLP,CP-014,19046.20,True,0.02,2026-07-28,2026-08-12,OPEN
INV-1058,Iyer Industries,CP-008,18076.65,False,0,2026-05-13,2026-06-27,OPEN
INV-1059,Iyer Industries,CP-008,63030.89,False,0,2026-06-29,2026-07-14,OPEN
INV-1060,Chatterjee Infotech Pvt Ltd,CP-058,44805.36,False,0,2026-05-11,2026-05-26,OPEN
INV-1061,Agarwal Distributors,CP-003,10663.67,False,0,2026-06-27,2026-07-27,OPEN
INV-1062,Agarwal Logistics,CP-001,95955.25,True,0.1,2026-07-14,2026-08-13,OPEN
INV-1063,Bhatt Traders Ltd,CP-000,109799.91,False,0,2026-05-15,2026-05-30,OPEN
INV-1064,Agarwal Packaging,CP-009,104660.31,True,0.1,2026-05-21,2026-07-05,OPEN
INV-1065,Venkat Textiles,CP-007,28117.46,False,0,2026-06-14,2026-06-29,OPEN
INV-1066,Kulkarni Agro Pvt Ltd,CP-035,72765.97,False,0,2026-05-26,2026-07-10,OPEN
INV-1067,Agarwal Distributors,CP-003,28999.55,True,0.1,2026-07-15,2026-08-14,OPEN
INV-1068,Pillai Infotech Ltd,CP-037,28081.78,True,0.02,2026-07-24,2026-08-08,OPEN
INV-1069,Chauhan Textiles LLP,CP-054,34757.89,False,0,2026-06-17,2026-07-17,OPEN
INV-1070,Iyer Agro Pvt Ltd,CP-041,147997.17,False,0,2026-07-10,2026-08-24,OPEN
INV-1071,Bhatt Traders Ltd,CP-000,124996.93,False,0,2026-07-18,2026-09-01,OPEN
INV-1072,Rastogi Textiles Ltd,CP-039,31169.16,True,0.1,2026-07-10,2026-08-09,OPEN
INV-1073,Bose Textiles Pvt Ltd,CP-004,12131.34,True,0.02,2026-07-23,2026-08-22,OPEN
INV-1074,Iyer Industries,CP-008,53971.38,True,0.02,2026-07-22,2026-09-05,OPEN
INV-1075,Malhotra Polymers Ltd,CP-044,39903.19,False,0,2026-06-12,2026-07-12,OPEN
INV-1076,Nair Logistics,CP-006,44249.65,True,0.02,2026-05-23,2026-06-22,OPEN
